slide,species,tissue,pmid,title,abstract,keywords,involve_cancer,tech,spot_num,gene_num,gsm_id,gse_id,feat1_gsm,feat2_gse,pmid_set,feat3_pmid,feat4_title_score,feat4_title,tissue_norm,feat5_fingerprint,confidence,overlap_label
GSE194329_GSM5833538,human,glioma,36823172,Spatial transcriptomics reveals niche-specific enrichment and vulnerabilities of radial glial stem-like cells in malignant gliomas,"Diffuse midline glioma-H3K27M mutant (DMG) and glioblastoma (GBM) are the most lethal brain tumors that primarily occur in pediatric and adult patients, respectively. Both tumors exhibit significant heterogeneity, shaped by distinct genetic/epigenetic drivers, transcriptional programs including RNA splicing, and microenvironmental cues in glioma niches. However, the spatial organization of cellular states and niche-specific regulatory programs remain to be investigated. Here, we perform a spatial profiling of DMG and GBM combining short- and long-read spatial transcriptomics, and single-cell transcriptomic datasets. We identify clinically relevant transcriptional programs, RNA isoform diversity, and multi-cellular ecosystems across different glioma niches. We find that while the tumor core enriches for oligodendrocyte precursor-like cells, radial glial stem-like (RG-like) cells are enriched in the neuron-rich invasive niche in both DMG and GBM. Further, we identify niche-specific regulatory programs for RG-like cells, and functionally confirm that FAM20C mediates invasive growth of RG-like cells in a neuron-rich microenvironment in a human neural stem cell derived orthotopic DMG model. Together, our results provide a blueprint for understanding the spatial architecture and niche-specific vulnerabilities of DMG and GBM.",,True,Visium,2171,36601,GSM5833538,GSE194329,False,False,{'36823172'},False,0.462,False,glioma,False,0.0,NOVEL
GSE203612_GSM6177607,human,stomach,35931863,Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment,"Transcriptional heterogeneity among malignant cells of a tumor has been studied in individual cancer types and shown to be organized into cancer cell states; however, it remains unclear to what extent these states span tumor types, constituting general features of cancer. Here, we perform a pan-cancer single-cell RNA-sequencing analysis across 15 cancer types and identify a catalog of gene modules whose expression defines recurrent cancer cell states including 'stress', 'interferon response', 'epithelial-mesenchymal transition', 'metal response', 'basal' and 'ciliated'. Spatial transcriptomic analysis linked the interferon response in cancer cells to T cells and macrophages in the tumor microenvironment. Using mouse models, we further found that induction of the interferon response module varies by tumor location and is diminished upon elimination of lymphocytes. Our work provides a framework for studying how cancer cell states interact with the tumor microenvironment to form organized systems capable of immune evasion, drug resistance and metastasis.",,True,Visium,2624,33538,GSM6177607,GSE203612,False,False,{'35931863'},False,0.513,False,stomach,False,0.0,NOVEL
GSE203612_GSM6177609,human,stomach,35931863,Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment,"Transcriptional heterogeneity among malignant cells of a tumor has been studied in individual cancer types and shown to be organized into cancer cell states; however, it remains unclear to what extent these states span tumor types, constituting general features of cancer. Here, we perform a pan-cancer single-cell RNA-sequencing analysis across 15 cancer types and identify a catalog of gene modules whose expression defines recurrent cancer cell states including 'stress', 'interferon response', 'epithelial-mesenchymal transition', 'metal response', 'basal' and 'ciliated'. Spatial transcriptomic analysis linked the interferon response in cancer cells to T cells and macrophages in the tumor microenvironment. Using mouse models, we further found that induction of the interferon response module varies by tumor location and is diminished upon elimination of lymphocytes. Our work provides a framework for studying how cancer cell states interact with the tumor microenvironment to form organized systems capable of immune evasion, drug resistance and metastasis.",,True,Visium,2493,33538,GSM6177609,GSE203612,False,False,{'35931863'},False,0.513,False,stomach,False,0.0,NOVEL
GSE203612_GSM6177612,human,liver,35931863,Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment,"Transcriptional heterogeneity among malignant cells of a tumor has been studied in individual cancer types and shown to be organized into cancer cell states; however, it remains unclear to what extent these states span tumor types, constituting general features of cancer. Here, we perform a pan-cancer single-cell RNA-sequencing analysis across 15 cancer types and identify a catalog of gene modules whose expression defines recurrent cancer cell states including 'stress', 'interferon response', 'epithelial-mesenchymal transition', 'metal response', 'basal' and 'ciliated'. Spatial transcriptomic analysis linked the interferon response in cancer cells to T cells and macrophages in the tumor microenvironment. Using mouse models, we further found that induction of the interferon response module varies by tumor location and is diminished upon elimination of lymphocytes. Our work provides a framework for studying how cancer cell states interact with the tumor microenvironment to form organized systems capable of immune evasion, drug resistance and metastasis.",,True,Visium,1661,33538,GSM6177612,GSE203612,False,False,{'35931863'},False,0.513,False,liver,False,0.0,NOVEL
GSE203612_GSM6177614,human,ovary,35931863,Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment,"Transcriptional heterogeneity among malignant cells of a tumor has been studied in individual cancer types and shown to be organized into cancer cell states; however, it remains unclear to what extent these states span tumor types, constituting general features of cancer. Here, we perform a pan-cancer single-cell RNA-sequencing analysis across 15 cancer types and identify a catalog of gene modules whose expression defines recurrent cancer cell states including 'stress', 'interferon response', 'epithelial-mesenchymal transition', 'metal response', 'basal' and 'ciliated'. Spatial transcriptomic analysis linked the interferon response in cancer cells to T cells and macrophages in the tumor microenvironment. Using mouse models, we further found that induction of the interferon response module varies by tumor location and is diminished upon elimination of lymphocytes. Our work provides a framework for studying how cancer cell states interact with the tumor microenvironment to form organized systems capable of immune evasion, drug resistance and metastasis.",,True,Visium,1762,33538,GSM6177614,GSE203612,False,False,{'35931863'},False,0.513,False,ovary,False,0.0,NOVEL
GSE203612_GSM6177617,human,ovary,35931863,Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment,"Transcriptional heterogeneity among malignant cells of a tumor has been studied in individual cancer types and shown to be organized into cancer cell states; however, it remains unclear to what extent these states span tumor types, constituting general features of cancer. Here, we perform a pan-cancer single-cell RNA-sequencing analysis across 15 cancer types and identify a catalog of gene modules whose expression defines recurrent cancer cell states including 'stress', 'interferon response', 'epithelial-mesenchymal transition', 'metal response', 'basal' and 'ciliated'. Spatial transcriptomic analysis linked the interferon response in cancer cells to T cells and macrophages in the tumor microenvironment. Using mouse models, we further found that induction of the interferon response module varies by tumor location and is diminished upon elimination of lymphocytes. Our work provides a framework for studying how cancer cell states interact with the tumor microenvironment to form organized systems capable of immune evasion, drug resistance and metastasis.",,True,Visium,1661,33538,GSM6177617,GSE203612,False,False,{'35931863'},False,0.513,False,ovary,False,0.0,NOVEL
GSE203612_GSM6177623,human,endometrium,35931863,Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment,"Transcriptional heterogeneity among malignant cells of a tumor has been studied in individual cancer types and shown to be organized into cancer cell states; however, it remains unclear to what extent these states span tumor types, constituting general features of cancer. Here, we perform a pan-cancer single-cell RNA-sequencing analysis across 15 cancer types and identify a catalog of gene modules whose expression defines recurrent cancer cell states including 'stress', 'interferon response', 'epithelial-mesenchymal transition', 'metal response', 'basal' and 'ciliated'. Spatial transcriptomic analysis linked the interferon response in cancer cells to T cells and macrophages in the tumor microenvironment. Using mouse models, we further found that induction of the interferon response module varies by tumor location and is diminished upon elimination of lymphocytes. Our work provides a framework for studying how cancer cell states interact with the tumor microenvironment to form organized systems capable of immune evasion, drug resistance and metastasis.",,True,Visium,1351,33538,GSM6177623,GSE203612,False,False,{'35931863'},False,0.513,False,endometrium,False,0.0,NOVEL
GSE206552_GSM6256810,human,liver,37157887,Spatial resolution of cellular senescence dynamics in human colorectal liver metastasis,"Hepatic metastasis is a clinical challenge for colorectal cancer (CRC). Senescent cancer cells accumulate in CRC favoring tumor dissemination. Whether this mechanism progresses also in metastasis is unexplored. Here, we integrated spatial transcriptomics, 3D-microscopy, and multicellular transcriptomics to study the role of cellular senescence in human colorectal liver metastasis (CRLM). We discovered two distinct senescent metastatic cancer cell (SMCC) subtypes, transcriptionally located at the opposite pole of epithelial (e) to mesenchymal (m) transition. SMCCs differ in chemotherapy susceptibility, biological program, and prognostic roles. Mechanistically, epithelial (e)SMCC initiation relies on nucleolar stress, whereby c-myc dependent oncogene hyperactivation induces ribosomal RPL11 accumulation and DNA damage response. In a 2D pre-clinical model, we demonstrated that RPL11 co-localized with HDM2, a p53-specific ubiquitin ligase, leading to senescence activation in (e)SMCCs. On the contrary, mesenchymal (m)SMCCs undergo TGFβ paracrine activation of NOX4-p15 effectors. SMCCs display opposing effects also in the immune regulation of neighboring cells, establishing an immunosuppressive environment or leading to an active immune workflow. Both SMCC signatures are predictive biomarkers whose unbalanced ratio determined the clinical outcome in CRLM and CRC patients. Altogether, we provide a comprehensive new understanding of the role of SMCCs in CRLM and highlight their potential as new therapeutic targets to limit CRLM progression.",EMT; cellular senescence; colorectal cancer liver metastasis; prognostic role; senescence-associated secretory phenotype; spatial transcriptomics.,True,Visium,3498,36601,GSM6256810,GSE206552,False,False,{'37157887'},False,0.522,False,liver,False,0.0,NOVEL
GSE206552_GSM6256812,human,liver,37157887,Spatial resolution of cellular senescence dynamics in human colorectal liver metastasis,"Hepatic metastasis is a clinical challenge for colorectal cancer (CRC). Senescent cancer cells accumulate in CRC favoring tumor dissemination. Whether this mechanism progresses also in metastasis is unexplored. Here, we integrated spatial transcriptomics, 3D-microscopy, and multicellular transcriptomics to study the role of cellular senescence in human colorectal liver metastasis (CRLM). We discovered two distinct senescent metastatic cancer cell (SMCC) subtypes, transcriptionally located at the opposite pole of epithelial (e) to mesenchymal (m) transition. SMCCs differ in chemotherapy susceptibility, biological program, and prognostic roles. Mechanistically, epithelial (e)SMCC initiation relies on nucleolar stress, whereby c-myc dependent oncogene hyperactivation induces ribosomal RPL11 accumulation and DNA damage response. In a 2D pre-clinical model, we demonstrated that RPL11 co-localized with HDM2, a p53-specific ubiquitin ligase, leading to senescence activation in (e)SMCCs. On the contrary, mesenchymal (m)SMCCs undergo TGFβ paracrine activation of NOX4-p15 effectors. SMCCs display opposing effects also in the immune regulation of neighboring cells, establishing an immunosuppressive environment or leading to an active immune workflow. Both SMCC signatures are predictive biomarkers whose unbalanced ratio determined the clinical outcome in CRLM and CRC patients. Altogether, we provide a comprehensive new understanding of the role of SMCCs in CRLM and highlight their potential as new therapeutic targets to limit CRLM progression.",EMT; cellular senescence; colorectal cancer liver metastasis; prognostic role; senescence-associated secretory phenotype; spatial transcriptomics.,True,Visium,1248,36601,GSM6256812,GSE206552,False,False,{'37157887'},False,0.522,False,liver,False,0.0,NOVEL
GSE206552_GSM6256813,human,liver,37157887,Spatial resolution of cellular senescence dynamics in human colorectal liver metastasis,"Hepatic metastasis is a clinical challenge for colorectal cancer (CRC). Senescent cancer cells accumulate in CRC favoring tumor dissemination. Whether this mechanism progresses also in metastasis is unexplored. Here, we integrated spatial transcriptomics, 3D-microscopy, and multicellular transcriptomics to study the role of cellular senescence in human colorectal liver metastasis (CRLM). We discovered two distinct senescent metastatic cancer cell (SMCC) subtypes, transcriptionally located at the opposite pole of epithelial (e) to mesenchymal (m) transition. SMCCs differ in chemotherapy susceptibility, biological program, and prognostic roles. Mechanistically, epithelial (e)SMCC initiation relies on nucleolar stress, whereby c-myc dependent oncogene hyperactivation induces ribosomal RPL11 accumulation and DNA damage response. In a 2D pre-clinical model, we demonstrated that RPL11 co-localized with HDM2, a p53-specific ubiquitin ligase, leading to senescence activation in (e)SMCCs. On the contrary, mesenchymal (m)SMCCs undergo TGFβ paracrine activation of NOX4-p15 effectors. SMCCs display opposing effects also in the immune regulation of neighboring cells, establishing an immunosuppressive environment or leading to an active immune workflow. Both SMCC signatures are predictive biomarkers whose unbalanced ratio determined the clinical outcome in CRLM and CRC patients. Altogether, we provide a comprehensive new understanding of the role of SMCCs in CRLM and highlight their potential as new therapeutic targets to limit CRLM progression.",EMT; cellular senescence; colorectal cancer liver metastasis; prognostic role; senescence-associated secretory phenotype; spatial transcriptomics.,True,Visium,1537,36601,GSM6256813,GSE206552,False,False,{'37157887'},False,0.522,False,liver,False,0.0,NOVEL
GSE208253_GSM6339631,human,mouth,37596273,Spatial transcriptomics reveals distinct and conserved tumor core and edge architectures that predict survival and targeted therapy response,"The spatial organization of the tumor microenvironment has a profound impact on biology and therapy response. Here, we perform an integrative single-cell and spatial transcriptomic analysis on HPV-negative oral squamous cell carcinoma (OSCC) to comprehensively characterize malignant cells in tumor core (TC) and leading edge (LE) transcriptional architectures. We show that the TC and LE are characterized by unique transcriptional profiles, neighboring cellular compositions, and ligand-receptor interactions. We demonstrate that the gene expression profile associated with the LE is conserved across different cancers while the TC is tissue specific, highlighting common mechanisms underlying tumor progression and invasion. Additionally, we find our LE gene signature is associated with worse clinical outcomes while TC gene signature is associated with improved prognosis across multiple cancer types. Finally, using an in silico modeling approach, we describe spatially-regulated patterns of cell development in OSCC that are predictably associated with drug response. Our work provides pan-cancer insights into TC and LE biology and interactive spatial atlases ( http://www.pboselab.ca/spatial_OSCC/ ; http://www.pboselab.ca/dynamo_OSCC/ ) that can be foundational for developing novel targeted therapies.",,True,Visium,1185,36601,GSM6339631,GSE208253,False,False,{'37596273'},False,0.456,False,mouth,False,0.0,NOVEL
GSE208253_GSM6339632,human,mouth,37596273,Spatial transcriptomics reveals distinct and conserved tumor core and edge architectures that predict survival and targeted therapy response,"The spatial organization of the tumor microenvironment has a profound impact on biology and therapy response. Here, we perform an integrative single-cell and spatial transcriptomic analysis on HPV-negative oral squamous cell carcinoma (OSCC) to comprehensively characterize malignant cells in tumor core (TC) and leading edge (LE) transcriptional architectures. We show that the TC and LE are characterized by unique transcriptional profiles, neighboring cellular compositions, and ligand-receptor interactions. We demonstrate that the gene expression profile associated with the LE is conserved across different cancers while the TC is tissue specific, highlighting common mechanisms underlying tumor progression and invasion. Additionally, we find our LE gene signature is associated with worse clinical outcomes while TC gene signature is associated with improved prognosis across multiple cancer types. Finally, using an in silico modeling approach, we describe spatially-regulated patterns of cell development in OSCC that are predictably associated with drug response. Our work provides pan-cancer insights into TC and LE biology and interactive spatial atlases ( http://www.pboselab.ca/spatial_OSCC/ ; http://www.pboselab.ca/dynamo_OSCC/ ) that can be foundational for developing novel targeted therapies.",,True,Visium,1836,36601,GSM6339632,GSE208253,False,False,{'37596273'},False,0.456,False,mouth,False,0.0,NOVEL
GSE208253_GSM6339633,human,mouth,37596273,Spatial transcriptomics reveals distinct and conserved tumor core and edge architectures that predict survival and targeted therapy response,"The spatial organization of the tumor microenvironment has a profound impact on biology and therapy response. Here, we perform an integrative single-cell and spatial transcriptomic analysis on HPV-negative oral squamous cell carcinoma (OSCC) to comprehensively characterize malignant cells in tumor core (TC) and leading edge (LE) transcriptional architectures. We show that the TC and LE are characterized by unique transcriptional profiles, neighboring cellular compositions, and ligand-receptor interactions. We demonstrate that the gene expression profile associated with the LE is conserved across different cancers while the TC is tissue specific, highlighting common mechanisms underlying tumor progression and invasion. Additionally, we find our LE gene signature is associated with worse clinical outcomes while TC gene signature is associated with improved prognosis across multiple cancer types. Finally, using an in silico modeling approach, we describe spatially-regulated patterns of cell development in OSCC that are predictably associated with drug response. Our work provides pan-cancer insights into TC and LE biology and interactive spatial atlases ( http://www.pboselab.ca/spatial_OSCC/ ; http://www.pboselab.ca/dynamo_OSCC/ ) that can be foundational for developing novel targeted therapies.",,True,Visium,969,36601,GSM6339633,GSE208253,False,False,{'37596273'},False,0.456,False,mouth,False,0.0,NOVEL
